2020-01-12 10:52:49.619863:HostEvent:Instantiate, DC: GBR, Host: 14592, Type: BAT, cores: 2, Mem: 16, Mem Util %: 0, Comp: 2, Comp Util %: 0, Num Tasks: 0, : 
2020-01-12 10:52:49.621863:HostEvent:Instantiate, DC: USA, Host: 97196, Type: GPU, cores: 16, Mem: 32, Mem Util %: 0, Comp: 16, Comp Util %: 0, Num Tasks: 0, : 
2020-01-12 10:52:49.622863:HostEvent:Instantiate, DC: ISL, Host: 32098, Type: BAT, cores: 4, Mem: 8, Mem Util %: 0, Comp: 4, Comp Util %: 0, Num Tasks: 0, : 
2020-01-12 10:52:49.622863:HostEvent:Instantiate, DC: ISL, Host: 18289, Type: CPU, cores: 8, Mem: 265, Mem Util %: 0, Comp: 8, Comp Util %: 0, Num Tasks: 0, : 
2020-01-12 10:52:49.623862:HostEvent:Instantiate, DC: GBR, Host: 13434, Type: CPU, cores: 8, Mem: 265, Mem Util %: 0, Comp: 8, Comp Util %: 0, Num Tasks: 0, : 
2020-01-12 10:52:49.624862:HostEvent:Instantiate, DC: ISL, Host: 97080, Type: GPU, cores: 8, Mem: 32, Mem Util %: 0, Comp: 8, Comp Util %: 0, Num Tasks: 0, : 
2020-01-12 10:52:49.624862:HostEvent:Instantiate, DC: AUS, Host: 11395, Type: BAT, cores: 2, Mem: 16, Mem Util %: 0, Comp: 2, Comp Util %: 0, Num Tasks: 0, : 
2020-01-12 10:52:49.625862:HostEvent:Instantiate, DC: ISL, Host: 55302, Type: GPU, cores: 8, Mem: 32, Mem Util %: 0, Comp: 8, Comp Util %: 0, Num Tasks: 0, : 
2020-01-12 10:52:49.626863:HostEvent:Instantiate, DC: USA, Host: 03905, Type: BAT, cores: 1, Mem: 16, Mem Util %: 0, Comp: 1, Comp Util %: 0, Num Tasks: 0, : 
2020-01-12 10:52:49.627862:HostEvent:Instantiate, DC: GBR, Host: 28657, Type: GPU, cores: 8, Mem: 32, Mem Util %: 0, Comp: 8, Comp Util %: 0, Num Tasks: 0, : 
2020-01-12 10:52:49.647863:HostEvent:Associate, Task: 529903, Profile: Saw, Pref Core: GPU, Load Factor: 7, Curr Mem: 0, Run Time: 19.0, Deficit: 0.0000, Cost: 0.0000, Time Left: 19.0, DC: ISL, Host: 18289, Type: CPU, cores: 8, Mem: 265, Mem Util %: 0, Comp: 8, Comp Util %: 0, Num Tasks: 1, : 
2020-01-12 10:52:49.648862:HostEvent:Associate, Task: 027824, Profile: Saw, Pref Core: GPU, Load Factor: 7, Curr Mem: 0, Run Time: 19.0, Deficit: 0.0000, Cost: 0.0000, Time Left: 19.0, DC: ISL, Host: 97080, Type: GPU, cores: 8, Mem: 32, Mem Util %: 0, Comp: 8, Comp Util %: 0, Num Tasks: 1, : 
2020-01-12 10:52:49.650862:HostEvent:Associate, Task: 208496, Profile: Saw, Pref Core: GPU, Load Factor: 7, Curr Mem: 0, Run Time: 19.0, Deficit: 0.0000, Cost: 0.0000, Time Left: 19.0, DC: GBR, Host: 14592, Type: BAT, cores: 2, Mem: 16, Mem Util %: 0, Comp: 2, Comp Util %: 0, Num Tasks: 1, : 
2020-01-12 10:52:49.651863:HostEvent:Associate, Task: 681453, Profile: Saw, Pref Core: GPU, Load Factor: 7, Curr Mem: 0, Run Time: 19.0, Deficit: 0.0000, Cost: 0.0000, Time Left: 19.0, DC: ISL, Host: 18289, Type: CPU, cores: 8, Mem: 265, Mem Util %: 0, Comp: 8, Comp Util %: 0, Num Tasks: 2, : 
2020-01-12 10:52:49.652863:HostEvent:Associate, Task: 571412, Profile: Saw, Pref Core: GPU, Load Factor: 7, Curr Mem: 0, Run Time: 19.0, Deficit: 0.0000, Cost: 0.0000, Time Left: 19.0, DC: ISL, Host: 97080, Type: GPU, cores: 8, Mem: 32, Mem Util %: 0, Comp: 8, Comp Util %: 0, Num Tasks: 2, : 
2020-01-12 10:52:49.653863:HostEvent:Associate, Task: 231148, Profile: Saw, Pref Core: GPU, Load Factor: 7, Curr Mem: 0, Run Time: 19.0, Deficit: 0.0000, Cost: 0.0000, Time Left: 19.0, DC: GBR, Host: 13434, Type: CPU, cores: 8, Mem: 265, Mem Util %: 0, Comp: 8, Comp Util %: 0, Num Tasks: 1, : 
2020-01-12 10:52:49.654862:HostEvent:Associate, Task: 617889, Profile: Saw, Pref Core: GPU, Load Factor: 7, Curr Mem: 0, Run Time: 19.0, Deficit: 0.0000, Cost: 0.0000, Time Left: 19.0, DC: USA, Host: 97196, Type: GPU, cores: 16, Mem: 32, Mem Util %: 0, Comp: 16, Comp Util %: 0, Num Tasks: 1, : 
2020-01-12 10:52:49.655863:HostEvent:Associate, Task: 848749, Profile: Saw, Pref Core: GPU, Load Factor: 7, Curr Mem: 0, Run Time: 19.0, Deficit: 0.0000, Cost: 0.0000, Time Left: 19.0, DC: ISL, Host: 18289, Type: CPU, cores: 8, Mem: 265, Mem Util %: 0, Comp: 8, Comp Util %: 0, Num Tasks: 3, : 
2020-01-12 10:52:49.657863:HostEvent:Associate, Task: 006814, Profile: Saw, Pref Core: GPU, Load Factor: 7, Curr Mem: 0, Run Time: 19.0, Deficit: 0.0000, Cost: 0.0000, Time Left: 19.0, DC: ISL, Host: 18289, Type: CPU, cores: 8, Mem: 265, Mem Util %: 0, Comp: 8, Comp Util %: 0, Num Tasks: 4, : 
2020-01-12 10:52:49.658863:HostEvent:Associate, Task: 844962, Profile: Saw, Pref Core: GPU, Load Factor: 7, Curr Mem: 0, Run Time: 19.0, Deficit: 0.0000, Cost: 0.0000, Time Left: 19.0, DC: ISL, Host: 32098, Type: BAT, cores: 4, Mem: 8, Mem Util %: 0, Comp: 4, Comp Util %: 0, Num Tasks: 1, : 
2020-01-12 10:52:49.659863:HostEvent:Associate, Task: 732052, Profile: Saw, Pref Core: GPU, Load Factor: 7, Curr Mem: 0, Run Time: 19.0, Deficit: 0.0000, Cost: 0.0000, Time Left: 19.0, DC: GBR, Host: 13434, Type: CPU, cores: 8, Mem: 265, Mem Util %: 0, Comp: 8, Comp Util %: 0, Num Tasks: 2, : 
